"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"19","Native 1","gap",9,"a","0","-","-",7332,"Native","Ambiguous",7332
"35","Native 1","gap",1,"a","0","-","-",3889,"Native","Ambiguous",3889
"39","Native 1","gap",7,"a","0","-","-",5502,"Native","Ambiguous",5502
"54","Native 1","gap",11,"a","0","-","-",6100,"Native","Ambiguous",6100
"57","Native 1","gap",12,"b","0","-","-",5111,"Native","Unambiguous",5111
"64","Native 1","gap",6,"b","0","-","-",4747,"Native","Unambiguous",4747
"77","Native 1","gap",2,"b","0","-","-",5688,"Native","Unambiguous",5688
"84","Native 1","gap",8,"b","0","-","-",4072,"Native","Unambiguous",4072
"102","Native 1","gap",10,"b","0","-","-",6782,"Native","Unambiguous",6782
"107","Native 1","gap",3,"a","0","-","-",9763,"Native","Ambiguous",9763
"154","Native 1","gap",4,"b","0","-","-",3525,"Native","Unambiguous",3525
"167","Native 1","gap",5,"a","0","-","-",6241,"Native","Ambiguous",6241
"198","Native 2","gap",10,"a","0","-","-",7414,"Native","Ambiguous",7414
"219","Native 2","gap",1,"b","0","-","-",11766,"Native","Unambiguous",11766
"226","Native 2","gap",3,"b","0","-","-",9436,"Native","Unambiguous",9436
"233","Native 2","gap",6,"a","0","-","-",4062,"Native","Ambiguous",4062
"243","Native 2","gap",9,"b","0","-","-",5404,"Native","Unambiguous",5404
"248","Native 2","gap",4,"a","0","-","-",5731,"Native","Ambiguous",5731
"252","Native 2","gap",12,"a","0","-","-",6163,"Native","Ambiguous",6163
"256","Native 2","gap",5,"b","0","-","-",5476,"Native","Unambiguous",5476
"271","Native 2","gap",11,"b","0","-","-",4505,"Native","Unambiguous",4505
"320","Native 2","gap",8,"a","0","-","-",5172,"Native","Ambiguous",5172
"330","Native 2","gap",2,"a","0","-","-",7103,"Native","Ambiguous",7103
"355","Native 2","gap",7,"b","0","-","-",8693,"Native","Unambiguous",8693
"374","Native 3","gap",11,"a","0","-","-",10601,"Native","Ambiguous",10601
"387","Native 3","gap",6,"b","0","-","-",8487,"Native","Unambiguous",8487
