"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"25","Native 1","gap",22,"b","0","-","-",4214,"Native","Unambiguous",4214
"42","Native 1","gap",16,"b","0","-","-",6048,"Native","Unambiguous",6048
"46","Native 1","gap",21,"a","0","-","-",5540,"Native","Ambiguous",5540
"50","Native 1","gap",19,"a","0","-","-",6460,"Native","Ambiguous",6460
"70","Native 1","gap",13,"a","0","-","-",3508,"Native","Ambiguous",3508
"81","Native 1","gap",14,"b","0","-","-",6009,"Native","Unambiguous",6009
"95","Native 1","gap",20,"b","0","-","-",3477,"Native","Unambiguous",3477
"118","Native 1","gap",24,"b","0","-","-",6898,"Native","Unambiguous",6898
"122","Native 1","gap",23,"a","0","-","-",5104,"Native","Ambiguous",5104
"161","Native 1","gap",18,"b","0","-","-",3523,"Native","Unambiguous",3523
"164","Native 1","gap",17,"a","0","-","-",3781,"Native","Ambiguous",3781
"178","Native 1","gap",15,"a","0","-","-",8324,"Native","Ambiguous",8324
"204","Native 2","gap",14,"a","0","-","-",6067,"Native","Ambiguous",6067
"212","Native 2","gap",20,"a","0","-","-",5290,"Native","Ambiguous",5290
"236","Native 2","gap",23,"b","0","-","-",5479,"Native","Unambiguous",5479
"278","Native 2","gap",18,"a","0","-","-",8060,"Native","Ambiguous",8060
"282","Native 2","gap",17,"b","0","-","-",5185,"Native","Unambiguous",5185
"299","Native 2","gap",21,"b","0","-","-",6021,"Native","Unambiguous",6021
"303","Native 2","gap",15,"b","0","-","-",7937,"Native","Unambiguous",7937
"309","Native 2","gap",19,"b","0","-","-",7550,"Native","Unambiguous",7550
"317","Native 2","gap",13,"b","0","-","-",6376,"Native","Unambiguous",6376
"326","Native 2","gap",24,"a","0","-","-",7317,"Native","Ambiguous",7317
"333","Native 2","gap",22,"a","0","-","-",3981,"Native","Ambiguous",3981
"337","Native 2","gap",16,"a","0","-","-",9422,"Native","Ambiguous",9422
"384","Native 3","gap",13,"a","0","-","-",9013,"Native","Ambiguous",9013
"390","Native 3","gap",14,"b","0","-","-",15867,"Native","Unambiguous",15867
"415","Native 3","gap",23,"a","0","-","-",10369,"Native","Ambiguous",10369
