"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"15","Native 1","gp",14,"b","0","-","-",3384,"Native","Unambiguous",3384
"22","Native 1","gp",3,"c","0","-","-",4156,"Native","Ambiguous",4156
"28","Native 1","gp",4,"d","0","-","-",3489,"Native","Unambiguous",3489
"32","Native 1","gp",7,"c","0","-","-",5264,"Native","Ambiguous",5264
"61","Native 1","gp",9,"a","0","-","-",5412,"Native","Ambiguous",5412
"67","Native 1","gp",6,"b","0","-","-",3704,"Native","Unambiguous",3704
"74","Native 1","gp",5,"a","0","-","-",6646,"Native","Ambiguous",6646
"88","Native 1","gp",20,"d","0","-","-",6440,"Native","Unambiguous",6440
"91","Native 1","gp",19,"c","0","-","-",3546,"Native","Ambiguous",3546
"99","Native 1","gp",17,"a","0","-","-",4075,"Native","Ambiguous",4075
"105","Native 1","gp",2,"b","0","-","-",3114,"Native","Unambiguous",3114
"111","Native 1","gp",12,"d","0","-","-",4900,"Native","Unambiguous",4900
"115","Native 1","gp",18,"b","0","-","-",4411,"Native","Unambiguous",4411
"125","Native 1","gp",1,"a","0","-","-",3168,"Native","Ambiguous",3168
"129","Native 1","gp",10,"b","0","-","-",4849,"Native","Unambiguous",4849
"132","Native 1","gp",11,"c","0","-","-",3770,"Native","Ambiguous",3770
"135","Native 1","gp",13,"a","0","-","-",7652,"Native","Ambiguous",7652
"139","Native 1","gp",24,"d","0","-","-",5284,"Native","Unambiguous",5284
"143","Native 1","gp",16,"d","0","-","-",7749,"Native","Unambiguous",7749
"146","Native 1","gp",21,"a","0","-","-",7780,"Native","Ambiguous",7780
"150","Native 1","gp",22,"b","0","-","-",5617,"Native","Unambiguous",5617
"158","Native 1","gp",15,"c","0","-","-",9105,"Native","Ambiguous",9105
"170","Native 1","gp",23,"c","0","-","-",4358,"Native","Ambiguous",4358
"174","Native 1","gp",8,"d","0","-","-",3081,"Native","Unambiguous",3081
"194","Native 2","gp",16,"a","0","-","-",7234,"Native","Ambiguous",7234
"201","Native 2","gp",17,"b","0","-","-",4808,"Native","Unambiguous",4808
"208","Native 2","gp",4,"a","0","-","-",7346,"Native","Ambiguous",7346
"216","Native 2","gp",15,"d","0","-","-",3568,"Native","Unambiguous",3568
"222","Native 2","gp",2,"c","0","-","-",4187,"Native","Ambiguous",4187
"229","Native 2","gp",10,"c","0","-","-",5184,"Native","Ambiguous",5184
"240","Native 2","gp",6,"c","0","-","-",9151,"Native","Ambiguous",9151
"246","Native 2","gp",19,"d","0","-","-",7389,"Native","Unambiguous",7389
"260","Native 2","gp",20,"a","0","-","-",5120,"Native","Ambiguous",5120
"264","Native 2","gp",14,"c","0","-","-",15480,"Native","Ambiguous",NA
"268","Native 2","gp",8,"a","0","-","-",6755,"Native","Ambiguous",6755
"274","Native 2","gp",1,"b","0","-","-",2699,"Native","Unambiguous",2699
"285","Native 2","gp",12,"a","0","-","-",3499,"Native","Ambiguous",3499
"288","Native 2","gp",24,"a","0","-","-",4612,"Native","Ambiguous",4612
"292","Native 2","gp",3,"d","0","-","-",4289,"Native","Unambiguous",4289
"296","Native 2","gp",23,"d","0","-","-",4385,"Native","Unambiguous",4385
"306","Native 2","gp",9,"b","0","-","-",2218,"Native","Unambiguous",2218
"313","Native 2","gp",5,"b","0","-","-",5668,"Native","Unambiguous",5668
"323","Native 2","gp",11,"d","0","-","-",2194,"Native","Unambiguous",2194
"341","Native 2","gp",21,"b","0","-","-",2691,"Native","Unambiguous",2691
"344","Native 2","gp",18,"c","0","-","-",4779,"Native","Ambiguous",4779
"347","Native 2","gp",22,"c","0","-","-",6143,"Native","Ambiguous",6143
"351","Native 2","gp",13,"b","0","-","-",4196,"Native","Unambiguous",4196
