"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"23","Native 1","gp",3,"c","!","{The_president}",1,1844,"Native","Ambiguous",1844
"29","Native 1","gp",4,"d","!","{The_friend}",1,2138,"Native","Unambiguous",2138
"33","Native 1","gp",7,"c","!","{The_lady}",1,1510,"Native","Ambiguous",1510
"89","Native 1","gp",20,"d","!","{The_man}",1,1897,"Native","Unambiguous",1897
"92","Native 1","gp",19,"c","!","{The_basketball_player}",1,2853,"Native","Ambiguous",2853
"112","Native 1","gp",12,"d","!","{The_baby}",1,1747,"Native","Unambiguous",1747
"133","Native 1","gp",11,"c","!","{The_friend}",1,1691,"Native","Ambiguous",1691
"140","Native 1","gp",24,"d","!","{The_director}",1,2375,"Native","Unambiguous",2375
"144","Native 1","gp",16,"d","!","{The_assistant}",1,1960,"Native","Unambiguous",1960
"159","Native 1","gp",15,"c","!","{The_boy}",1,3248,"Native","Ambiguous",3248
"171","Native 1","gp",23,"c","!","{The_child}",1,4003,"Native","Ambiguous",4003
"175","Native 1","gp",8,"d","!","{The_boy}",1,1513,"Native","Unambiguous",1513
"217","Native 2","gp",15,"d","!","{The_boy}",1,1028,"Native","Unambiguous",1028
"223","Native 2","gp",2,"c","!","{The_mother}",0,2794,"Native","Ambiguous",2794
"230","Native 2","gp",10,"c","!","{The_two_soldiers}",0,1124,"Native","Ambiguous",1124
"241","Native 2","gp",6,"c","!","{The_neighbour}",1,972,"Native","Ambiguous",972
"247","Native 2","gp",19,"d","!","{The_basketball_player}",1,1542,"Native","Unambiguous",1542
"265","Native 2","gp",14,"c","!","{The_nurse}",1,1586,"Native","Ambiguous",1586
"293","Native 2","gp",3,"d","!","{The_president}",1,1444,"Native","Unambiguous",1444
"297","Native 2","gp",23,"d","!","{The_child}",1,1108,"Native","Unambiguous",1108
"324","Native 2","gp",11,"d","!","{The_friend}",1,1136,"Native","Unambiguous",1136
"345","Native 2","gp",18,"c","!","{The_baby}",1,2386,"Native","Ambiguous",2386
"348","Native 2","gp",22,"c","!","{The_coach}",1,2255,"Native","Ambiguous",2255
"359","Native 2","gp",7,"d","!","{The_lady}",1,953,"Native","Unambiguous",953
"401","Native 3","gp",18,"d","!","{The_baby}",1,1989,"Native","Unambiguous",1989
"405","Native 3","gp",22,"d","!","{The_coach}",1,2556,"Native","Unambiguous",2556
"409","Native 3","gp",9,"c","!","{The_pianist}",0,12669,"Native","Ambiguous",NA
"412","Native 3","gp",6,"d","!","{The_neighbour}",1,1922,"Native","Unambiguous",1922
"427","Native 3","gp",13,"c","!","{The_boy}",1,1870,"Native","Ambiguous",1870
"456","Native 3","gp",1,"c","!","{The_man}",1,1631,"Native","Ambiguous",1631
"471","Native 3","gp",14,"d","!","{The_nurse}",1,1757,"Native","Unambiguous",1757
"502","Native 3","gp",21,"c","!","{The_child}",1,2411,"Native","Ambiguous",2411
"519","Native 3","gp",5,"c","!","{The_boy}",1,3324,"Native","Ambiguous",3324
"529","Native 3","gp",10,"d","!","{The_General}",1,2177,"Native","Unambiguous",2177
"532","Native 3","gp",17,"c","!","{The_terrorist}",1,2360,"Native","Ambiguous",2360
"538","Native 3","gp",2,"d","!","{The_baby}",1,1910,"Native","Unambiguous",1910
"562","Native 4","gp",12,"c","!","{The_baby}",1,1212,"Native","Ambiguous",1212
"571","Native 4","gp",21,"d","!","{The_child}",1,1585,"Native","Unambiguous",1585
"574","Native 4","gp",24,"c","!","{The_actresses}",0,2472,"Native","Ambiguous",2472
"578","Native 4","gp",17,"d","!","{The_terrorist}",1,1088,"Native","Unambiguous",1088
"595","Native 4","gp",4,"c","!","{The_friend}",1,1058,"Native","Ambiguous",1058
"599","Native 4","gp",16,"c","!","{The_assistant}",1,3170,"Native","Ambiguous",3170
"614","Native 4","gp",8,"c","!","{The_boy}",1,2749,"Native","Ambiguous",2749
"638","Native 4","gp",13,"d","!","{The_boy}",1,1443,"Native","Unambiguous",1443
"656","Native 4","gp",1,"d","!","{The_man}",1,1064,"Native","Unambiguous",1064
"663","Native 4","gp",20,"c","!","{The_man}",1,2021,"Native","Ambiguous",2021
"673","Native 4","gp",9,"d","!","{The_singer}",1,1267,"Native","Unambiguous",1267
"701","Native 4","gp",5,"d","!","{The_boy}",1,1838,"Native","Unambiguous",1838
"738","Native 5","gp",19,"c","!","{The_basketball_player}",1,2411,"Native","Ambiguous",2411
"747","Native 5","gp",4,"d","!","{The_friend}",1,1865,"Native","Unambiguous",1865
"750","Native 5","gp",7,"c","!","{The_lady}",1,1604,"Native","Ambiguous",1604
"757","Native 5","gp",16,"d","!","{The_assistant}",1,4299,"Native","Unambiguous",4299
"778","Native 5","gp",3,"c","!","{The_president}",1,1976,"Native","Ambiguous",1976
"791","Native 5","gp",23,"c","!","{The_mother}",0,2373,"Native","Ambiguous",2373
"820","Native 5","gp",8,"d","!","{The_boy}",1,2142,"Native","Unambiguous",2142
"823","Native 5","gp",15,"c","!","{The_aunt}",0,1437,"Native","Ambiguous",1437
"835","Native 5","gp",24,"d","!","{The_actresses}",0,3337,"Native","Unambiguous",3337
"853","Native 5","gp",11,"c","!","{The_lady}",0,2132,"Native","Ambiguous",2132
"888","Native 5","gp",20,"d","!","{The_man}",1,1902,"Native","Unambiguous",1902
"898","Native 5","gp",12,"d","!","{The_baby}",1,2848,"Native","Unambiguous",2848
"919","Native 6","gp",11,"d","!","{The_friend}",1,1612,"Native","Unambiguous",1612
"932","Native 6","gp",6,"c","!","{The_neighbour}",1,1813,"Native","Ambiguous",1813
"942","Native 6","gp",2,"c","!","{The_baby}",1,2120,"Native","Ambiguous",2120
"945","Native 6","gp",10,"c","!","{The_General}",1,2816,"Native","Ambiguous",2816
"955","Native 6","gp",15,"d","!","{The_boy}",1,1811,"Native","Unambiguous",1811
"970","Native 6","gp",3,"d","!","{The_president}",1,1585,"Native","Unambiguous",1585
"984","Native 6","gp",7,"d","!","{The_lady}",1,2098,"Native","Unambiguous",2098
"1022","Native 6","gp",14,"c","!","{The_doctor}",0,2617,"Native","Ambiguous",2617
"1033","Native 6","gp",23,"d","!","{The_child}",1,1661,"Native","Unambiguous",1661
"1054","Native 6","gp",22,"c","!","{The_coach}",1,1860,"Native","Ambiguous",1860
"1068","Native 6","gp",18,"c","!","{The_baby}",1,5989,"Native","Ambiguous",NA
"1075","Native 6","gp",19,"d","!","{The_basketball_player}",1,1552,"Native","Unambiguous",1552
"1100","Native 7","gp",17,"c","!","{The_terrorist}",1,2381,"Native","Ambiguous",2381
"1112","Native 7","gp",18,"d","!","{The_baby}",1,1646,"Native","Unambiguous",1646
"1115","Native 7","gp",13,"c","!","{The_boy}",1,1324,"Native","Ambiguous",1324
"1118","Native 7","gp",22,"d","!","{The_coach}",1,1700,"Native","Unambiguous",1700
"1132","Native 7","gp",1,"c","!","{The_lawyer}",0,2661,"Native","Ambiguous",2661
"1145","Native 7","gp",5,"c","!","{The_father}",0,3607,"Native","Ambiguous",3607
"1164","Native 7","gp",9,"c","!","{The_pianist}",0,2553,"Native","Ambiguous",2553
"1204","Native 7","gp",6,"d","!","{The_neighbour}",1,2836,"Native","Unambiguous",2836
"1207","Native 7","gp",10,"d","!","{The_General}",1,2029,"Native","Unambiguous",2029
"1220","Native 7","gp",2,"d","!","{The_baby}",1,2359,"Native","Unambiguous",2359
"1231","Native 7","gp",21,"c","!","{The_child}",1,5031,"Native","Ambiguous",5031
"1238","Native 7","gp",14,"d","!","{The_nurse}",1,2369,"Native","Unambiguous",2369
"1285","Native 8","gp",24,"c","!","{The_actresses}",0,2478,"Native","Ambiguous",2478
"1294","Native 8","gp",4,"c","!","{The_two_children}",0,1941,"Native","Ambiguous",1941
"1301","Native 8","gp",5,"d","!","{The_boy}",1,2185,"Native","Unambiguous",2185
"1308","Native 8","gp",13,"d","!","{The_boy}",1,1881,"Native","Unambiguous",1881
"1333","Native 8","gp",9,"d","!","{The_singer}",1,1554,"Native","Unambiguous",1554
"1354","Native 8","gp",12,"c","!","{The_nurse}",0,4455,"Native","Ambiguous",4455
"1370","Native 8","gp",17,"d","!","{The_terrorist}",1,2585,"Native","Unambiguous",2585
"1382","Native 8","gp",16,"c","!","{The_assistant}",1,2231,"Native","Ambiguous",2231
"1392","Native 8","gp",8,"c","!","{Mary}",0,3689,"Native","Ambiguous",3689
"1413","Native 8","gp",21,"d","!","{The_child}",1,2050,"Native","Unambiguous",2050
"1424","Native 8","gp",1,"d","!","{The_lawyer}",0,3695,"Native","Unambiguous",3695
"1438","Native 8","gp",20,"c","!","{The_man}",1,1913,"Native","Ambiguous",1913
"1467","Native 9","gp",11,"c","!","{The_friend}",1,1081,"Native","Ambiguous",1081
"1476","Native 9","gp",15,"c","!","{The_aunt}",0,1342,"Native","Ambiguous",1342
"1482","Native 9","gp",24,"d","!","{The_director}",1,1031,"Native","Unambiguous",1031
"1490","Native 9","gp",19,"c","!","{The_basketball_player}",1,1442,"Native","Ambiguous",1442
"1499","Native 9","gp",16,"d","!","{The_assistant}",1,1361,"Native","Unambiguous",1361
"1510","Native 9","gp",12,"d","!","{The_baby}",1,991,"Native","Unambiguous",991
"1520","Native 9","gp",8,"d","!","{The_boy}",1,1512,"Native","Unambiguous",1512
"1529","Native 9","gp",23,"c","!","{The_child}",1,1537,"Native","Ambiguous",1537
"1561","Native 9","gp",20,"d","!","{The_man}",1,997,"Native","Unambiguous",997
"1569","Native 9","gp",3,"c","!","{The_president}",1,1886,"Native","Ambiguous",1886
"1590","Native 9","gp",4,"d","!","{The_friend}",1,1115,"Native","Unambiguous",1115
"1611","Native 9","gp",7,"c","!","{The_lady}",1,1527,"Native","Ambiguous",1527
"1635","Native 10","gp",23,"d","!","{The_child}",1,1145,"Native","Unambiguous",1145
"1638","Native 10","gp",19,"d","!","{The_basketball_player}",1,1567,"Native","Unambiguous",1567
"1655","Native 10","gp",11,"d","!","{The_friend}",1,1070,"Native","Unambiguous",1070
"1663","Native 10","gp",3,"d","!","{The_president}",1,1148,"Native","Unambiguous",1148
"1683","Native 10","gp",7,"d","!","{The_lady}",1,1975,"Native","Unambiguous",1975
"1698","Native 10","gp",18,"c","!","{The_father}",0,3058,"Native","Ambiguous",3058
"1705","Native 10","gp",10,"c","!","{The_two_soldiers}",0,2028,"Native","Ambiguous",2028
"1718","Native 10","gp",2,"c","!","{The_mother}",0,2365,"Native","Ambiguous",2365
"1734","Native 10","gp",22,"c","!","{The_two_footballers}",0,1531,"Native","Ambiguous",1531
"1771","Native 10","gp",15,"d","!","{The_boy}",1,1730,"Native","Unambiguous",1730
"1781","Native 10","gp",6,"c","!","{The_two_kids}",0,2253,"Native","Ambiguous",2253
"1798","Native 10","gp",14,"c","!","{The_nurse}",1,2379,"Native","Ambiguous",2379
"1849","Native 11","gp",14,"d","!","{The_nurse}",1,1387,"Native","Unambiguous",1387
"1874","Native 11","gp",13,"c","!","{The_boy}",1,2940,"Native","Ambiguous",2940
"1885","Native 11","gp",9,"c","!","{The_singer}",1,1546,"Native","Ambiguous",1546
"1892","Native 11","gp",17,"c","!","{The_terrorist}",1,1470,"Native","Ambiguous",1470
"1898","Native 11","gp",22,"d","!","{The_coach}",1,1795,"Native","Unambiguous",1795
"1901","Native 11","gp",5,"c","!","{The_father}",0,2136,"Native","Ambiguous",2136
"1905","Native 11","gp",21,"c","!","{The_child}",1,1477,"Native","Ambiguous",1477
"1915","Native 11","gp",18,"d","!","{The_baby}",1,1461,"Native","Unambiguous",1461
"1926","Native 11","gp",1,"c","!","{The_man}",1,4194,"Native","Ambiguous",4194
"1946","Native 11","gp",10,"d","!","{The_General}",1,2523,"Native","Unambiguous",2523
"1957","Native 11","gp",2,"d","!","{The_baby}",1,3624,"Native","Unambiguous",3624
"1978","Native 11","gp",6,"d","!","{The_neighbour}",1,1573,"Native","Unambiguous",1573
"1995","Native 12","gp",13,"d","!","{The_boy}",1,3244,"Native","Unambiguous",3244
"1998","Native 12","gp",5,"d","!","{The_boy}",1,2107,"Native","Unambiguous",2107
"2005","Native 12","gp",1,"d","!","{The_man}",1,1893,"Native","Unambiguous",1893
"2069","Native 12","gp",20,"c","!","{The_man}",1,1715,"Native","Ambiguous",1715
"2080","Native 12","gp",24,"c","!","{The_actresses}",0,2325,"Native","Ambiguous",2325
"2094","Native 12","gp",4,"c","!","{The_two_children}",0,2993,"Native","Ambiguous",2993
"2114","Native 12","gp",8,"c","!","{Mary}",0,3289,"Native","Ambiguous",3289
"2118","Native 12","gp",16,"c","!","{The_assistant}",1,3541,"Native","Ambiguous",3541
"2131","Native 12","gp",21,"d","!","{The_child}",1,2202,"Native","Unambiguous",2202
"2135","Native 12","gp",17,"d","!","{The_terrorist}",1,1418,"Native","Unambiguous",1418
